Rewards,Lengths,Loss1,Loss2,Q1,Q2,Best_Distances
1087.0,1251,2.07533,1.85579,1.3466,1.6777,722
2492.0,4427,1.65392005443573,1.6510100364685059,7.140510082244873,7.25832986831665,1150
1088.0,729,1.6886600255966187,1.6947599649429321,8.503390312194824,8.403499603271484,698
1496.0,846,1.9308600425720215,1.940809965133667,9.142720222473145,9.070619583129883,1127
729.0,391,1.6805399656295776,1.6777299642562866,10.792130470275879,10.942139625549316,315
2325.0,2711,1.8787399530410767,1.8722599744796753,11.408479690551758,11.206040382385254,1785
1815.0,1466,2.0229101181030273,2.0250298976898193,11.225850105285645,11.218070030212402,1797
1492.0,1118,1.9089000225067139,1.9085700511932373,11.664779663085938,11.710639953613281,1439
2445.0,2661,2.0952401161193848,2.0946900844573975,12.521349906921387,12.484439849853516,1138
2299.0,1671,1.931399941444397,1.931480050086975,12.27260971069336,12.253310203552246,1138
2472.0,2123,1.865399956703186,1.8648799657821655,12.367630004882812,12.341099739074707,1138
2252.0,2443,1.8183900117874146,1.815019965171814,12.837220191955566,12.775750160217285,1130
1670.0,1457,1.4723999500274658,1.4637099504470825,12.333939552307129,12.271320343017578,816
1566.0,1903,1.5224000215530396,1.5223400592803955,12.473719596862793,12.451379776000977,838
1643.0,1681,1.6196800470352173,1.6189600229263306,12.383769989013672,12.353249549865723,898
1634.0,1855,1.6165900230407715,1.6164000034332275,11.595399856567383,11.607020378112793,898
1212.0,1321,1.6915099620819092,1.6927399635314941,10.693429946899414,10.669500350952148,868
1431.0,949,2.0418100357055664,2.0420100688934326,10.982749938964844,10.964420318603516,1411
2541.0,2098,1.7831799983978271,1.782960057258606,11.219240188598633,11.199190139770508,2470
1512.0,1060,1.8037099838256836,1.802970051765442,11.913049697875977,11.90608024597168,1502
3453.0,2801,1.505079984664917,1.5080000162124634,12.523309707641602,12.527959823608398,1413
1523.0,1239,1.177970051765442,1.177549958229065,12.99491024017334,13.011590003967285,1490
2670.0,2178,1.4912899732589722,1.4411799907684326,14.57194995880127,14.344030380249023,1138
2073.0,1806,1.9403400421142578,1.940940022468567,14.204509735107422,14.156319618225098,1138
2865.0,1409,1.7596999406814575,1.7687000036239624,14.662059783935547,14.700189590454102,1246
4872.0,2164,2.1113600730895996,2.110879898071289,17.884870529174805,17.876239776611328,3161
2353.0,1093,1.88687002658844,1.8869800567626953,19.739669799804688,19.74563980102539,1151
5415.0,2242,2.119990110397339,2.1202099323272705,20.173320770263672,20.17548942565918,3161
4196.0,1890,1.9830900430679321,1.983780026435852,21.540159225463867,21.556800842285156,2474
1951.0,968,1.7610700130462646,1.7585699558258057,22.80855941772461,22.76335906982422,1149
1831.0,935,1.7596499919891357,1.7568000555038452,22.908069610595703,22.85931968688965,696
1519.0,822,1.8799899816513062,1.8743499517440796,23.062580108642578,23.03598976135254,1439
3125.0,1769,2.179409980773926,2.1907200813293457,22.323400497436523,22.370819091796875,1417
2228.0,1337,2.367799997329712,2.3738698959350586,21.80267906188965,21.810840606689453,1543
1885.0,940,2.4798099994659424,2.4709999561309814,21.597660064697266,21.520540237426758,1129
2044.0,1141,2.372649908065796,2.3732099533081055,21.044570922851562,21.031810760498047,1431
1753.0,750,2.593369960784912,2.582469940185547,20.113859176635742,20.01869010925293,1674
